Date,SPY_US_Equity,QQQ_US_Equity,IWD_US_Equity,IWF_US_Equity,IWN_US_Equity,MDY_US_Equity,IWM_US_Equity,IWO_US_Equity,EFA_US_Equity,EWJ_US_Equity,EWW_US_Equity,EWY_US_Equity,EWH_US_Equity,EWZ_US_Equity,IYR_US_Equity,SPLV_US_Equity,TLT_US_Equity,IEF_US_Equity,SHY_US_Equity,TIP_US_Equity,LQD_US_Equity,HYG_US_Equity,GLD_US_Equity
2001.11.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001.11.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001.11.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001.12.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001.12.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001.12.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001.12.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002.01.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002.01.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002.01.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002.01.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002.02.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002.02.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002.02.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002.02.22,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.032632,0.002632,0.002632,0.032632,0.002632,0.072632,0.002632,0,0,0,0.732632,0.002632,0.092632,0
2002.03.01,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.002632,0.042632,0.002632,0.062632,0.002632,0,0,0,0.742632,0.002632,0.092632,0
2002.03.08,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.032632,0.002632,0.002632,0.042632,0.002632,0.052632,0.002632,0,0,0,0.742632,0.002632,0.092632,0
2002.03.15,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.032632,0.002632,0.002632,0.042632,0.002632,0.052632,0.002632,0,0,0,0.742632,0.002632,0.092632,0
2002.03.22,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.032632,0.002632,0.002632,0.042632,0.002632,0.052632,0.002632,0,0,0,0.742632,0.002632,0.092632,0
2002.03.29,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.032632,0.002632,0.002632,0.032632,0.002632,0.062632,0.002632,0,0,0,0.722632,0.002632,0.112632,0
2002.04.05,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.002632,0.042632,0.002632,0.052632,0.002632,0,0,0,0.722632,0.002632,0.122632,0
2002.04.12,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.032632,0.002632,0.002632,0.042632,0.002632,0.042632,0.002632,0,0,0,0.722632,0.002632,0.122632,0
2002.04.19,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.002632,0.032632,0.002632,0.062632,0.002632,0,0,0,0.692632,0.002632,0.152632,0
2002.04.26,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.002632,0.032632,0.002632,0.062632,0.002632,0,0,0,0.692632,0.002632,0.152632,0
2002.05.03,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.002632,0.032632,0.002632,0.062632,0.002632,0,0,0,0.692632,0.002632,0.152632,0
2002.05.10,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.002632,0.032632,0.002632,0.062632,0.002632,0,0,0,0.682632,0.002632,0.162632,0
2002.05.17,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.002632,0.032632,0.002632,0.062632,0.002632,0,0,0,0.682632,0.002632,0.162632,0
2002.05.24,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.012632,0.002632,0.032632,0.002632,0.052632,0.002632,0,0,0,0.692632,0.002632,0.152632,0
2002.05.31,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.012632,0.002632,0.042632,0.002632,0.042632,0.002632,0,0,0,0.682632,0.002632,0.182632,0
2002.06.07,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.012632,0.002632,0.042632,0.002632,0.042632,0.002632,0,0,0,0.682632,0.002632,0.182632,0
2002.06.14,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.012632,0.002632,0.042632,0.002632,0.042632,0.002632,0,0,0,0.692632,0.002632,0.172632,0
2002.06.21,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.012632,0.012632,0.002632,0.032632,0.002632,0.052632,0.002632,0,0,0,0.682632,0.002632,0.172632,0
2002.06.28,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.012632,0.002632,0.032632,0.002632,0.042632,0.002632,0,0,0,0.692632,0.002632,0.162632,0
2002.07.05,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.002632,0.042632,0.002632,0.042632,0.002632,0,0,0,0.692632,0.002632,0.162632,0
2002.07.12,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.012632,0.012632,0.002632,0.042632,0.002632,0.042632,0.002632,0,0,0,0.702632,0.002632,0.152632,0
2002.07.19,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.012632,0.012632,0.002632,0.042632,0.002632,0.042632,0.002632,0,0,0,0.702632,0.002632,0.152632,0
2002.07.26,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.012632,0.002632,0.002632,0.042632,0.002632,0.052632,0.002632,0,0,0,0.712632,0.002632,0.142632,0
2002.08.02,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.012632,0.012632,0.002632,0.042632,0.002632,0.042632,0.002632,0,0,0,0.722632,0.002632,0.132632,0
2002.08.09,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.012632,0.002632,0.002632,0.042632,0.002632,0.052632,0.002632,0,0,0,0.702632,0.002632,0.152632,0
2002.08.16,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.012632,0.002632,0.002632,0.042632,0.002632,0.052632,0.002632,0,0,0,0.702632,0.002632,0.152632,0
2002.08.23,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.012632,0.002632,0.002632,0.042632,0.002632,0.052632,0.002632,0,0,0,0.702632,0.002632,0.152632,0
2002.08.30,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.012632,0.002632,0.002632,0.052632,0.002632,0.042632,0.002632,0,0,0,0.712632,0.002632,0.142632,0
2002.09.06,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.002632,0.042632,0.002632,0.052632,0.002632,0,0,0,0.712632,0.002632,0.132632,0
2002.09.13,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.012632,0.002632,0.002632,0.052632,0.002632,0.042632,0.002632,0,0,0,0.712632,0.002632,0.142632,0
2002.09.20,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.002632,0.042632,0.002632,0.052632,0.002632,0,0,0,0.712632,0.002632,0.132632,0
2002.09.27,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.002632,0.042632,0.002632,0.042632,0.002632,0,0,0,0.722632,0.002632,0.132632,0
2002.10.04,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.012632,0.012632,0.002632,0.042632,0.002632,0.042632,0.002632,0,0,0,0.732632,0.002632,0.122632,0
2002.10.11,0.002632,0.012632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.052632,0.002632,0.032632,0.002632,0,0,0,0.742632,0.002632,0.122632,0
2002.10.18,0.002632,0.012632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.012632,0.002632,0.002632,0.052632,0.002632,0.022632,0.012632,0,0,0,0.702632,0.002632,0.152632,0
2002.10.25,0.002632,0.012632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.012632,0.002632,0.002632,0.052632,0.002632,0.022632,0.012632,0,0,0,0.702632,0.002632,0.152632,0
2002.11.01,0.002632,0.012632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.062632,0.002632,0.032632,0.002632,0,0,0,0.722632,0.002632,0.132632,0
2002.11.08,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.012632,0.012632,0.002632,0.062632,0.002632,0.002632,0.042632,0,0,0,0.702632,0.002632,0.132632,0
2002.11.15,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.072632,0.002632,0.022632,0.042632,0,0,0,0.662632,0.002632,0.142632,0
2002.11.22,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.072632,0.002632,0.022632,0.042632,0,0,0,0.662632,0.002632,0.142632,0
2002.11.29,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.032632,0.002632,0.072632,0.002632,0.022632,0.042632,0,0,0,0.662632,0.002632,0.132632,0
2002.12.06,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.082632,0.002632,0.012632,0.042632,0,0,0,0.662632,0.002632,0.142632,0
2002.12.13,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.082632,0.002632,0.012632,0.042632,0,0,0,0.662632,0.002632,0.142632,0
2002.12.20,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.092632,0.002632,0.002632,0.042632,0,0,0,0.662632,0.002632,0.142632,0
2002.12.27,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.082632,0.002632,0.012632,0.042632,0,0,0,0.662632,0.002632,0.142632,0
2003.01.03,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.082632,0.002632,0.002632,0.042632,0,0,0,0.672632,0.002632,0.142632,0
2003.01.10,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.072632,0.002632,0.002632,0.052632,0,0,0,0.682632,0.002632,0.132632,0
2003.01.17,0.002632,0.012632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.062632,0.002632,0.022632,0.042632,0,0,0,0.682632,0.002632,0.122632,0
2003.01.24,0.002632,0.012632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.062632,0.002632,0.022632,0.042632,0,0,0,0.682632,0.002632,0.122632,0
2003.01.31,0.002632,0.022632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.012632,0.002632,0.052632,0.002632,0.022632,0.042632,0,0,0,0.692632,0.002632,0.122632,0
2003.02.07,0.002632,0.022632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.012632,0.002632,0.052632,0.002632,0.022632,0.042632,0,0,0,0.692632,0.002632,0.122632,0
2003.02.14,0.002632,0.012632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.052632,0.002632,0.022632,0.052632,0,0,0,0.672632,0.012632,0.122632,0
2003.02.21,0.002632,0.012632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.012632,0.002632,0.052632,0.002632,0.002632,0.062632,0,0,0,0.682632,0.012632,0.132632,0
2003.02.28,0.002632,0.012632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.062632,0.002632,0.002632,0.052632,0,0,0,0.672632,0.022632,0.122632,0
2003.03.07,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.062632,0.002632,0.002632,0.062632,0,0,0,0.662632,0.022632,0.132632,0
2003.03.14,0.002632,0.012632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.062632,0.002632,0.002632,0.062632,0,0,0,0.642632,0.032632,0.132632,0
2003.03.21,0.002632,0.012632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.072632,0.002632,0.042632,0.052632,0,0,0,0.582632,0.072632,0.112632,0
2003.03.28,0.002632,0.012632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.072632,0.002632,0.042632,0.052632,0,0,0,0.582632,0.072632,0.112632,0
2003.04.04,0.002632,0.012632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.072632,0.002632,0.042632,0.052632,0,0,0,0.592632,0.052632,0.122632,0
2003.04.11,0.002632,0.012632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.032632,0.002632,0.062632,0.002632,0.042632,0.062632,0,0,0,0.582632,0.062632,0.112632,0
2003.04.18,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.032632,0.002632,0.072632,0.002632,0.032632,0.062632,0,0,0,0.592632,0.052632,0.122632,0
2003.04.25,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.032632,0.002632,0.072632,0.002632,0.032632,0.062632,0,0,0,0.602632,0.032632,0.132632,0
2003.05.02,0.002632,0.022632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.012632,0.002632,0.042632,0.002632,0.062632,0.062632,0,0,0,0.642632,0.002632,0.122632,0
2003.05.09,0.002632,0.022632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.032632,0.002632,0.042632,0.082632,0,0,0,0.612632,0.012632,0.142632,0
2003.05.16,0.002632,0.022632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.042632,0.002632,0.042632,0.072632,0,0,0,0.612632,0.002632,0.152632,0
2003.05.23,0.002632,0.022632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.032632,0.002632,0.032632,0.082632,0,0,0,0.612632,0.002632,0.162632,0
2003.05.30,0.002632,0.012632,0.002632,0.022632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.032632,0.002632,0.042632,0.062632,0,0,0,0.612632,0.002632,0.162632,0
2003.06.06,0.002632,0.022632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.032632,0.002632,0.032632,0.082632,0,0,0,0.612632,0.002632,0.162632,0
2003.06.13,0.002632,0.032632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.012632,0.002632,0.032632,0.002632,0.052632,0.072632,0,0,0,0.602632,0.002632,0.162632,0
2003.06.20,0.002632,0.032632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.032632,0.002632,0.062632,0.062632,0,0,0,0.572632,0.002632,0.182632,0
2003.06.27,0.002632,0.032632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.022632,0.002632,0.022632,0.002632,0.082632,0.062632,0,0,0,0.552632,0.002632,0.192632,0
2003.07.04,0.002632,0.032632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.012632,0.022632,0.002632,0.022632,0.002632,0.092632,0.052632,0,0,0,0.542632,0.002632,0.192632,0
2003.07.11,0.002632,0.022632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.012632,0.032632,0.002632,0.022632,0.002632,0.092632,0.062632,0,0,0,0.542632,0.002632,0.182632,0
2003.07.18,0.002632,0.012632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.032632,0.002632,0.042632,0.002632,0.092632,0.062632,0,0,0,0.522632,0.002632,0.202632,0
2003.07.25,0.002632,0.012632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.012632,0.042632,0.002632,0.032632,0.002632,0.092632,0.062632,0,0,0,0.522632,0.002632,0.192632,0
2003.08.01,0.002632,0.012632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.042632,0.002632,0.052632,0.002632,0.132632,0.032632,0,0,0,0.512632,0.002632,0.182632,0
